rec,address,code2,code,count,lat,lng
1,四川省绵阳市江油市永胜镇水排楼村民委员会,510781112202,510781112202,1941,31.932815009,104.891614145
1,四川省江油市永胜镇朝阳村民委员会,510781112203,510781112203,2134,31.932588005,104.907924925
1,四川省江油市永胜镇青竹村民委员会,510781112204,510781112204,2151,31.932815009,104.891614145
1,四川省绵阳市江油市永胜镇海棠村12组,510781112205,510781112205,2098,31.904033687,104.914216186
1,四川省绵阳市江油市永胜镇龙宫寺村委会1组,510781112206,510781112206,1717,31.932815009,104.891614145
1,四川省江油市永胜镇龙宫村民委员会,510781112207,510781112207,2520,31.932815009,104.891614145
1,四川省江油市永胜镇桐柳村民委员会,510781112208,510781112208,2597,31.932815009,104.891614145
1,四川省绵阳市三台县立新镇立新社区居委会场镇,510722138001,510722138001,1411,31.275758861,104.768847862
1,四川省江油市永胜镇高庙村民委员会,510781112210,510781112210,3415,31.935966436,104.877872938
1,四川省江油市永胜镇明水村民委员会,510781112211,510781112211,571,31.932815009,104.891614145
1,四川省绵阳市江油市永胜镇高岭村委会,510781112212,510781112212,2098,31.909244695,104.853400788
1,四川省江油市永胜镇高岭村民委员会,510781112213,510781112213,1047,31.909244695,104.853400788
1,四川省江油市永胜镇金凤村民委员会,510781112214,510781112214,972,31.897884310,104.863277458
1,四川省绵阳市江油市永胜镇白石村委会一组,510781112215,510781112215,442,31.932815009,104.891614145
1,四川省江油市永胜镇文昌村民委员会,510781112216,510781112216,1,31.932815009,104.891614145
1,四川省梓潼县定远乡班竹村民委员会,510725218201,510725218201,1054,31.512398726,105.263283831
1,四川省绵阳市梓潼县定远乡白岩村委会三组,510725218202,510725218202,819,31.526541714,105.265803264
1,四川省梓潼县定远乡红豆村民委员会,510725218203,510725218203,1206,31.512398726,105.263283831
1,四川省梓潼县定远乡银河村民委员会,510725218204,510725218204,529,31.548379185,105.241153461
1,四川省梓潼县定远乡土塔村民委员会,510725218205,510725218205,1081,31.525446498,105.249550589
1,四川省梓潼县定远乡前锋村民委员会,510725218206,510725218206,782,31.502003986,105.243810674
1,四川省梓潼县定远乡同心村民委员会,510725218207,510725218207,982,31.479957681,105.253861445
1,四川省梓潼县定远乡爱华村民委员会,510725218208,510725218208,537,31.485978844,105.276275423
1,四川省绵阳市涪城区金峰镇场镇社区居民委员会,510703108001,510703108001,1353,31.348228650,104.651356559
1,四川省绵阳市梓潼县定远乡胜利村委会四组,510725218210,510725218210,765,31.505279845,105.270973974
1,四川省绵阳市梓潼县金龙场乡场镇,510725210001,510725210001,595,31.653620997,105.193834184
1,四川省绵阳市盐亭县三元乡蒲家嘴社区,510723203001,510723203001,794,31.196036573,105.555783589
1,四川省江油市太平镇荞坝村民委员会,510781101207,510781101207,3812,31.777603473,104.709385244
1,四川省绵阳市盐亭县大兴回族乡大联村民委员会,510723211201,510723211201,893,31.268941406,105.434792029
1,四川省绵阳市盐亭县大兴回族乡紫金村委会04,510723211202,510723211202,490,31.287458161,105.442953904
1,四川省绵阳市盐亭县大兴回族乡龙宝村委会03,510723211203,510723211203,507,31.267126102,105.437786693
1,四川省绵阳市盐亭县大兴回族乡雪垭村委会01,510723211204,510723211204,351,31.267126102,105.437786693
1,四川省绵阳市盐亭县大兴回族乡白云村委会05,510723211205,510723211205,580,31.290140208,105.424404876
1,四川省绵阳市盐亭县大兴回族乡雪垭村民委员会,510723211206,510723211206,1277,31.267126102,105.437786693
1,四川省绵阳市盐亭县大兴回族乡龙宝村民委员会,510723211207,510723211207,716,31.267126102,105.437786693
1,四川省绵阳市盐亭县大兴回族乡松柏村民委员会,510723211208,510723211208,856,31.267126102,105.437786693
1,四川省绵阳市江油市小溪坝镇赵家河村委会四组,510781113210,510781113210,1,31.886015554,104.993010489
1,四川省江油市武都镇石龙村民委员会,510781107209,510781107209,2152,31.856421934,104.807587322
1,四川省梓潼县小垭乡飞凤村民委员会,510725203202,510725203202,967,31.873892766,105.198619276
